"ACDT","Demand","Time","DSTTime","Year","Temp","WtdTemp"
2020-11-17 03:30:00,6149.21,0.104166666666667,0.145833333333333,0.718093607305936,11,18.1740601285444
2020-11-17 04:00:00,6163.31,0.125,0.166666666666667,0.718150684931507,10.45,18.09
2020-11-17 04:30:00,6247.7,0.145833333333333,0.1875,0.718207762557078,9.9,17.8564177036453
2020-11-17 05:00:00,6467.66,0.166666666666667,0.208333333333333,0.718264840182648,10.15,17.5597043486483
2020-11-17 05:30:00,6660.39,0.1875,0.229166666666667,0.718321917808219,10.4,17.0906846055019
2020-11-17 06:00:00,7030.21,0.208333333333333,0.25,0.71837899543379,12.3,17.1298577141718
2020-11-17 06:30:00,7286.31,0.229166666666667,0.270833333333333,0.718436073059361,14.2,17.39
2020-11-17 07:00:00,7473.72,0.25,0.291666666666667,0.718493150684931,15.75,17.7591694434766
2020-11-17 07:30:00,7623.35,0.270833333333333,0.3125,0.718550228310502,17.3,18.3882449547026
2020-11-17 08:00:00,7555.79,0.291666666666667,0.333333333333333,0.718607305936073,17.3,18.2389135287969
2020-11-17 08:30:00,7537.72,0.3125,0.354166666666667,0.718664383561644,17.3,18.1430368515008
2020-11-17 09:00:00,7513.58,0.333333333333333,0.375,0.718721461187215,17.65,18.355
2020-11-17 09:30:00,7476.59,0.354166666666667,0.395833333333333,0.718778538812785,18,18.6292893218813
2020-11-17 10:00:00,7259.06,0.375,0.416666666666667,0.718835616438356,18.25,18.8625
2020-11-17 10:30:00,7245.1,0.395833333333333,0.4375,0.718892694063927,18.5,19.078033008589
2020-11-17 11:00:00,7258.47,0.416666666666667,0.458333333333333,0.718949771689498,18.8,19.28
2020-11-17 11:30:00,7230,0.4375,0.479166666666667,0.719006849315069,19.1,19.46
2020-11-17 12:00:00,7150.53,0.458333333333333,0.5,0.719063926940639,19.2,19.52
2020-11-17 12:30:00,7149.6,0.479166666666667,0.520833333333333,0.71912100456621,19.3,19.58
2020-11-17 13:00:00,7166.82,0.5,0.541666666666667,0.719178082191781,19.3,19.58
2020-11-17 13:30:00,7182.09,0.520833333333333,0.5625,0.719235159817352,19.3,19.58
