"ACDT","Demand","Time","DSTTime","Year","Temp"
2020-03-09 04:30:00,1186,0.145833333333333,0.1875,0.0103310502283105,15.1
2020-03-09 05:00:00,1176,0.166666666666667,0.208333333333333,0.0103881278538813,15.4
2020-03-09 05:30:00,1180,0.1875,0.229166666666667,0.0104452054794521,15.7
2020-03-09 06:00:00,1158,0.208333333333333,0.25,0.0105022831050228,16.05
2020-03-09 06:30:00,1195,0.229166666666667,0.270833333333333,0.0105593607305936,16.4
2020-03-09 07:00:00,1185,0.25,0.291666666666667,0.0106164383561644,17.4
2020-03-09 07:30:00,1191,0.270833333333333,0.3125,0.0106735159817352,18.4
2020-03-09 08:00:00,1178,0.291666666666667,0.333333333333333,0.0107305936073059,18.85
2020-03-09 08:30:00,1116,0.3125,0.354166666666667,0.0107876712328767,19.3
2020-03-09 09:00:00,1046,0.333333333333333,0.375,0.0108447488584475,20.65
2020-03-09 09:30:00,976,0.354166666666667,0.395833333333333,0.0109018264840183,22
2020-03-09 10:00:00,878,0.375,0.416666666666667,0.010958904109589,22
2020-03-09 10:30:00,802,0.395833333333333,0.4375,0.0110159817351598,22
2020-03-09 11:00:00,739,0.416666666666667,0.458333333333333,0.0110730593607306,22.25
2020-03-09 11:30:00,712,0.4375,0.479166666666667,0.0111301369863014,22.5
2020-03-09 12:00:00,755,0.458333333333333,0.5,0.0111872146118721,23.2
2020-03-09 12:30:00,766,0.479166666666667,0.520833333333333,0.0112442922374429,23.9
2020-03-09 13:00:00,658,0.5,0.541666666666667,0.0113013698630137,24.1
2020-03-09 13:30:00,665,0.520833333333333,0.5625,0.0113584474885845,24.3
2020-03-09 14:00:00,611,0.541666666666667,0.583333333333333,0.0114155251141553,24.35
2020-03-09 14:30:00,614,0.5625,0.604166666666667,0.011472602739726,24.4
2020-03-09 15:00:00,726,0.583333333333333,0.625,0.0115296803652968,24.2
2020-03-09 15:30:00,931,0.604166666666667,0.645833333333333,0.0115867579908676,24
2020-03-09 16:00:00,983,0.625,0.666666666666667,0.0116438356164384,23.15
2020-03-09 16:30:00,895,0.645833333333333,0.6875,0.0117009132420091,22.3
2020-03-09 17:00:00,932,0.666666666666667,0.708333333333333,0.0117579908675799,21.7
2020-03-09 17:30:00,1048,0.6875,0.729166666666667,0.0118150684931507,21.1
2020-03-09 18:00:00,1217,0.708333333333333,0.75,0.0118721461187215,20.35
2020-03-09 18:30:00,1348,0.729166666666667,0.770833333333333,0.0119292237442922,19.6
2020-03-09 19:00:00,1390,0.75,0.791666666666667,0.011986301369863,18.95
2020-03-09 19:30:00,1420,0.770833333333333,0.8125,0.0120433789954338,18.3
2020-03-09 20:00:00,1445,0.791666666666667,0.833333333333333,0.0121004566210046,18.1
2020-03-09 20:30:00,1439,0.8125,0.854166666666667,0.0121575342465753,17.9
2020-03-09 21:00:00,1416,0.833333333333333,0.875,0.0122146118721461,17.95
2020-03-09 21:30:00,1392,0.854166666666667,0.895833333333333,0.0122716894977169,18
2020-03-09 22:00:00,1366,0.875,0.916666666666667,0.0123287671232877,17.4
2020-03-09 22:30:00,1337,0.895833333333333,0.9375,0.0123858447488584,16.8
2020-03-09 23:00:00,1301,0.916666666666667,0.958333333333333,0.0124429223744292,16.9
2020-03-09 23:30:00,1290,0.9375,0.979166666666667,0.0125,17
2020-03-10,1294,0.958333333333333,1,0.0125570776255708,17.1
2020-03-10 00:30:00,1459,0.979166666666667,1.02083333333333,0.0126141552511416,17.2
2020-03-10 01:00:00,1448,0,0.0416666666666667,0.0126712328767123,16.55
2020-03-10 01:30:00,1413,0.0208333333333333,0.0625,0.0127283105022831,15.9
2020-03-10 02:00:00,1325,0.0416666666666667,0.0833333333333333,0.0127853881278539,16.1
2020-03-10 02:30:00,1274,0.0625,0.104166666666667,0.0128424657534247,16.3
2020-03-10 03:00:00,1253,0.0833333333333333,0.125,0.0128995433789954,16.65
2020-03-10 03:30:00,1242,0.104166666666667,0.145833333333333,0.0129566210045662,17
2020-03-10 04:00:00,1203,0.125,0.166666666666667,0.013013698630137,16.35
2020-03-10 04:30:00,1196,0.145833333333333,0.1875,0.0130707762557078,15.7
2020-03-10 05:00:00,1188,0.166666666666667,0.208333333333333,0.0131278538812785,16.1
2020-03-10 05:30:00,1215,0.1875,0.229166666666667,0.0131849315068493,16.5
2020-03-10 06:00:00,1256,0.208333333333333,0.25,0.0132420091324201,16.3
2020-03-10 06:30:00,1322,0.229166666666667,0.270833333333333,0.0132990867579909,16.1
2020-03-10 07:00:00,1405,0.25,0.291666666666667,0.0133561643835616,18.6
2020-03-10 07:30:00,1486,0.270833333333333,0.3125,0.0134132420091324,21.1
2020-03-10 08:00:00,1477,0.291666666666667,0.333333333333333,0.0134703196347032,22.35
2020-03-10 08:30:00,1401,0.3125,0.354166666666667,0.013527397260274,23.6
2020-03-10 09:00:00,1326,0.333333333333333,0.375,0.0135844748858447,23.3
2020-03-10 09:30:00,1227,0.354166666666667,0.395833333333333,0.0136415525114155,23
2020-03-10 10:00:00,1133,0.375,0.416666666666667,0.0136986301369863,22.85
2020-03-10 10:30:00,1065,0.395833333333333,0.4375,0.0137557077625571,22.7
2020-03-10 11:00:00,983,0.416666666666667,0.458333333333333,0.0138127853881279,22.65
2020-03-10 11:30:00,937,0.4375,0.479166666666667,0.0138698630136986,22.6
2020-03-10 12:00:00,920,0.458333333333333,0.5,0.0139269406392694,22.8
2020-03-10 12:30:00,907,0.479166666666667,0.520833333333333,0.0139840182648402,23
2020-03-10 13:00:00,899,0.5,0.541666666666667,0.014041095890411,23.6
2020-03-10 13:30:00,910,0.520833333333333,0.5625,0.0140981735159817,24.2
2020-03-10 14:00:00,933,0.541666666666667,0.583333333333333,0.0141552511415525,24.9
2020-03-10 14:30:00,967,0.5625,0.604166666666667,0.0142123287671233,25.6
2020-03-10 15:00:00,1016,0.583333333333333,0.625,0.0142694063926941,25.3
2020-03-10 15:30:00,1065,0.604166666666667,0.645833333333333,0.0143264840182648,25
2020-03-10 16:00:00,1124,0.625,0.666666666666667,0.0143835616438356,24.65
2020-03-10 16:30:00,1203,0.645833333333333,0.6875,0.0144406392694064,24.3
2020-03-10 17:00:00,1300,0.666666666666667,0.708333333333333,0.0144977168949772,24.2
2020-03-10 17:30:00,1398,0.6875,0.729166666666667,0.0145547945205479,24.1
2020-03-10 18:00:00,1499,0.708333333333333,0.75,0.0146118721461187,24.55
2020-03-10 18:30:00,1576,0.729166666666667,0.770833333333333,0.0146689497716895,25
2020-03-10 19:00:00,1652,0.75,0.791666666666667,0.0147260273972603,23.7
2020-03-10 19:30:00,1680,0.770833333333333,0.8125,0.0147831050228311,22.4
2020-03-10 20:00:00,1671,0.791666666666667,0.833333333333333,0.0148401826484018,22.1
2020-03-10 20:30:00,1675,0.8125,0.854166666666667,0.0148972602739726,21.8
2020-03-10 21:00:00,1646,0.833333333333333,0.875,0.0149543378995434,21.4
2020-03-10 21:30:00,1606,0.854166666666667,0.895833333333333,0.0150114155251142,21
2020-03-10 22:00:00,1559,0.875,0.916666666666667,0.0150684931506849,20.25
2020-03-10 22:30:00,1508,0.895833333333333,0.9375,0.0151255707762557,19.5
2020-03-10 23:00:00,1464,0.916666666666667,0.958333333333333,0.0151826484018265,18.75
2020-03-10 23:30:00,1411,0.9375,0.979166666666667,0.0152397260273973,18
2020-03-11,1391,0.958333333333333,1,0.015296803652968,18
2020-03-11 00:30:00,1543,0.979166666666667,1.02083333333333,0.0153538812785388,18
2020-03-11 01:00:00,1524,0,0.0416666666666667,0.0154109589041096,17.2
2020-03-11 01:30:00,1450,0.0208333333333333,0.0625,0.0154680365296804,16.4
2020-03-11 02:00:00,1397,0.0416666666666667,0.0833333333333333,0.0155251141552511,16.25
2020-03-11 02:30:00,1337,0.0625,0.104166666666667,0.0155821917808219,16.1
2020-03-11 03:00:00,1299,0.0833333333333333,0.125,0.0156392694063927,16.55
2020-03-11 03:30:00,1281,0.104166666666667,0.145833333333333,0.0156963470319635,17
2020-03-11 04:00:00,1258,0.125,0.166666666666667,0.0157534246575342,16.2
2020-03-11 04:30:00,1241,0.145833333333333,0.1875,0.015810502283105,15.4
2020-03-11 05:00:00,1240,0.166666666666667,0.208333333333333,0.0158675799086758,16.25
2020-03-11 05:30:00,1263,0.1875,0.229166666666667,0.0159246575342466,17.1
2020-03-11 06:00:00,1300,0.208333333333333,0.25,0.0159817351598174,16.7
2020-03-11 06:30:00,1374,0.229166666666667,0.270833333333333,0.0160388127853881,16.3
2020-03-11 07:00:00,1448,0.25,0.291666666666667,0.0160958904109589,19.65
2020-03-11 07:30:00,1523,0.270833333333333,0.3125,0.0161529680365297,23
2020-03-11 08:00:00,1494,0.291666666666667,0.333333333333333,0.0162100456621005,24.1
2020-03-11 08:30:00,1439,0.3125,0.354166666666667,0.0162671232876712,25.2
2020-03-11 09:00:00,1361,0.333333333333333,0.375,0.016324200913242,26.6
2020-03-11 09:30:00,1299,0.354166666666667,0.395833333333333,0.0163812785388128,28
2020-03-11 10:00:00,1231,0.375,0.416666666666667,0.0164383561643836,28.85
2020-03-11 10:30:00,1164,0.395833333333333,0.4375,0.0164954337899543,29.7
2020-03-11 11:00:00,1110,0.416666666666667,0.458333333333333,0.0165525114155251,29.5
2020-03-11 11:30:00,1085,0.4375,0.479166666666667,0.0166095890410959,29.3
2020-03-11 12:00:00,1077,0.458333333333333,0.5,0.0166666666666667,29
2020-03-11 12:30:00,1086,0.479166666666667,0.520833333333333,0.0167237442922374,28.7
2020-03-11 13:00:00,1099,0.5,0.541666666666667,0.0167808219178082,28.5
2020-03-11 13:30:00,1132,0.520833333333333,0.5625,0.016837899543379,28.3
2020-03-11 14:00:00,1177,0.541666666666667,0.583333333333333,0.0168949771689498,29.05
2020-03-11 14:30:00,1262,0.5625,0.604166666666667,0.0169520547945205,29.8
2020-03-11 15:00:00,1345,0.583333333333333,0.625,0.0170091324200913,28.9
2020-03-11 15:30:00,1380,0.604166666666667,0.645833333333333,0.0170662100456621,28
