"ACDT","Demand","Time","DSTTime","Year","Temp","WtdTemp"
2022-06-03 17:30:00,2086,0.729166666666667,0.729166666666667,4.24754566210046,14.3,15.44
2022-06-03 18:00:00,2156,0.75,0.75,4.24760273972603,14.4,14.7280404050711
2022-06-03 18:30:00,2153,0.770833333333333,0.770833333333333,4.2476598173516,14.5,14.5
2022-06-03 19:00:00,2112,0.791666666666667,0.791666666666667,4.24771689497717,14.3,14.3377115578311
2022-06-03 19:30:00,2068,0.8125,0.8125,4.24777397260274,14.1,14.2553444461884
2022-06-03 20:00:00,2024,0.833333333333333,0.833333333333333,4.24783105022831,13.85,14.2112460985703
2022-06-03 20:30:00,1969,0.854166666666667,0.854166666666667,4.24788812785388,13.6,14.2603853034223
2022-06-03 21:00:00,1917,0.875,0.875,4.24794520547945,13.7,14.7002054930193
2022-06-03 21:30:00,1852,0.895833333333333,0.895833333333333,4.24800228310502,13.8,15.1909112422005
2022-06-03 22:00:00,1775,0.916666666666667,0.916666666666667,4.24805936073059,13.75,15.6161466790866
2022-06-03 22:30:00,1696,0.9375,0.9375,4.24811643835616,13.7,16.0938755217573
2022-06-03 23:00:00,1601,0.958333333333333,0.958333333333333,4.24817351598174,13.7,16.6413051797343
2022-06-03 23:30:00,1676,0.979166666666667,0.979166666666667,4.24823059360731,13.7,17.2122207372709
2022-06-06,1708,0,0,4.25376712328767,12.9,17.515
2022-06-06 00:30:00,1686,0.0208333333333333,0.0208333333333333,4.25382420091324,12.8,17.6906975477774
2022-06-06 01:00:00,1630,0.0416666666666667,0.0416666666666667,4.25388127853881,12.6,17.8347786099253
2022-06-06 01:30:00,1553,0.0625,0.0625,4.25393835616438,12.4,17.9733500656423
2022-06-06 02:00:00,1499,0.0833333333333333,0.0833333333333333,4.25399543378995,12.45,18.1582984296938
2022-06-06 02:30:00,1450,0.104166666666667,0.104166666666667,4.25405251141552,12.5,18.3104033138404
2022-06-06 03:00:00,1410,0.125,0.125,4.2541095890411,12.5,18.4143644740752
2022-06-06 03:30:00,1364,0.145833333333333,0.145833333333333,4.25416666666667,12.5,18.4783834404536
2022-06-06 04:00:00,1363,0.166666666666667,0.166666666666667,4.25422374429224,12.15,18.43
2022-06-06 04:30:00,1368,0.1875,0.1875,4.25428082191781,11.8,18.2596658584051
2022-06-06 05:00:00,1370,0.208333333333333,0.208333333333333,4.25433789954338,12.15,18.0551958514608
2022-06-06 05:30:00,1405,0.229166666666667,0.229166666666667,4.25439497716895,12.5,17.7270973480484
2022-06-06 06:00:00,1443,0.25,0.25,4.25445205479452,12.5,17.204406864453
2022-06-06 06:30:00,1539,0.270833333333333,0.270833333333333,4.25450913242009,12.5,16.625
2022-06-06 07:00:00,1694,0.291666666666667,0.291666666666667,4.25456621004566,12.2,15.8874168609689
2022-06-06 07:30:00,1857,0.3125,0.3125,4.25462328767123,11.9,15.1647348641077
2022-06-06 08:00:00,1958,0.333333333333333,0.333333333333333,4.2546803652968,12.55,15.1407058479767
2022-06-06 08:30:00,1938,0.354166666666667,0.354166666666667,4.25473744292237,13.2,15.3232039222982
2022-06-06 09:00:00,1816,0.375,0.375,4.25479452054795,13.35,15.345
2022-06-06 09:30:00,1753,0.395833333333333,0.395833333333333,4.25485159817352,13.5,15.5451902961144
2022-06-06 10:00:00,1587,0.416666666666667,0.416666666666667,4.25490867579909,13.3,15.645
2022-06-06 10:30:00,1494,0.4375,0.4375,4.25496575342466,13.1,15.7589518395094
2022-06-06 11:00:00,1408,0.458333333333333,0.458333333333333,4.25502283105023,12.75,15.65
2022-06-06 11:30:00,1386,0.479166666666667,0.479166666666667,4.2550799086758,12.4,15.44
2022-06-06 12:00:00,1387,0.5,0.5,4.25513698630137,12.95,15.77
2022-06-06 12:30:00,1486,0.520833333333333,0.520833333333333,4.25519406392694,13.5,16.1
2022-06-06 13:00:00,1478,0.541666666666667,0.541666666666667,4.25525114155251,12.65,15.59
2022-06-06 13:30:00,1392,0.5625,0.5625,4.25530821917808,11.8,15.08
2022-06-06 14:00:00,1443,0.583333333333333,0.583333333333333,4.25536529680365,12.25,15.35
2022-06-06 14:30:00,1555,0.604166666666667,0.604166666666667,4.25542237442922,12.7,15.62
2022-06-06 15:00:00,1482,0.625,0.625,4.25547945205479,12.7,15.62
2022-06-06 15:30:00,1612,0.645833333333333,0.645833333333333,4.25553652968037,12.7,15.62
2022-06-06 16:00:00,1706,0.666666666666667,0.666666666666667,4.25559360730594,12.55,15.53
2022-06-06 16:30:00,1885,0.6875,0.6875,4.25565068493151,12.4,15.44
2022-06-06 17:00:00,2036,0.708333333333333,0.708333333333333,4.25570776255708,12.35,14.9618733752154
2022-06-06 17:30:00,2197,0.729166666666667,0.729166666666667,4.25576484018265,12.3,13.84
