REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2021/12/01 00:05:00,1496.07,103.74,TRADE
SA1,2021/12/01 00:10:00,1500.4,96.50,TRADE
SA1,2021/12/01 00:15:00,1503.43,95.66,TRADE
SA1,2021/12/01 00:20:00,1482.96,83.93,TRADE
SA1,2021/12/01 00:25:00,1471.32,83.51,TRADE
SA1,2021/12/01 00:30:00,1468.29,83.51,TRADE
SA1,2021/12/01 00:35:00,1474.69,83.51,TRADE
SA1,2021/12/01 00:40:00,1462.6,117,TRADE
SA1,2021/12/01 00:45:00,1469.32,102.22,TRADE
SA1,2021/12/01 00:50:00,1433.39,85.65,TRADE
SA1,2021/12/01 00:55:00,1449.33,85.60,TRADE
SA1,2021/12/01 01:00:00,1429,83.12,TRADE
SA1,2021/12/01 01:05:00,1426.82,83.55,TRADE
SA1,2021/12/01 01:10:00,1378.15,78.77,TRADE
SA1,2021/12/01 01:15:00,1376.92,70.18,TRADE
SA1,2021/12/01 01:20:00,1353.03,69.84,TRADE
SA1,2021/12/01 01:25:00,1330.4,69.49,TRADE
SA1,2021/12/01 01:30:00,1328.43,66.24,TRADE
SA1,2021/12/01 01:35:00,1305.59,77.01,TRADE
SA1,2021/12/01 01:40:00,1303.08,74.18,TRADE
SA1,2021/12/01 01:45:00,1303.2,74.20,TRADE
SA1,2021/12/01 01:50:00,1284.42,70.04,TRADE
SA1,2021/12/01 01:55:00,1255.69,67.67,TRADE
SA1,2021/12/01 02:00:00,1245.58,64.87,TRADE
SA1,2021/12/01 02:05:00,1249.15,69.27,TRADE
SA1,2021/12/01 02:10:00,1268.38,64.93,TRADE
SA1,2021/12/01 02:15:00,1263.78,64.77,TRADE
SA1,2021/12/01 02:20:00,1267.58,68.85,TRADE
SA1,2021/12/01 02:25:00,1245.09,63.30,TRADE
SA1,2021/12/01 02:30:00,1266.69,63.96,TRADE
SA1,2021/12/01 02:35:00,1265.14,61.85,TRADE
SA1,2021/12/01 02:40:00,1275,62.34,TRADE
SA1,2021/12/01 02:45:00,1245.78,59.13,TRADE
SA1,2021/12/01 02:50:00,1223.45,55.05,TRADE
SA1,2021/12/01 02:55:00,1215.04,54.10,TRADE
SA1,2021/12/01 03:00:00,1231.45,54.99,TRADE
SA1,2021/12/01 03:05:00,1227.38,59.99,TRADE
SA1,2021/12/01 03:10:00,1215.42,58.47,TRADE
SA1,2021/12/01 03:15:00,1230.91,60.61,TRADE
SA1,2021/12/01 03:20:00,1214.52,57.19,TRADE
SA1,2021/12/01 03:25:00,1194.2,57.49,TRADE
SA1,2021/12/01 03:30:00,1195.87,54.98,TRADE
SA1,2021/12/01 03:35:00,1164.44,53.70,TRADE
SA1,2021/12/01 03:40:00,1188.81,54.67,TRADE
SA1,2021/12/01 03:45:00,1172.46,53.39,TRADE
SA1,2021/12/01 03:50:00,1206.47,57.50,TRADE
SA1,2021/12/01 03:55:00,1180.59,58.78,TRADE
SA1,2021/12/01 04:00:00,1191.14,58.77,TRADE
SA1,2021/12/01 04:05:00,1185.72,39.73,TRADE
SA1,2021/12/01 04:10:00,1177.64,53.09,TRADE
SA1,2021/12/01 04:15:00,1183.46,52.99,TRADE
SA1,2021/12/01 04:20:00,1178,53.09,TRADE
SA1,2021/12/01 04:25:00,1193.99,52.80,TRADE
SA1,2021/12/01 04:30:00,1197.02,54.44,TRADE
SA1,2021/12/01 04:35:00,1214.59,56.74,TRADE
SA1,2021/12/01 04:40:00,1191.57,54.69,TRADE
SA1,2021/12/01 04:45:00,1214.29,54.90,TRADE
SA1,2021/12/01 04:50:00,1226.42,54.71,TRADE
SA1,2021/12/01 04:55:00,1215.57,55.05,TRADE
SA1,2021/12/01 05:00:00,1218.34,59.45,TRADE
SA1,2021/12/01 05:05:00,1213.03,59.36,TRADE
SA1,2021/12/01 05:10:00,1195.1,59.58,TRADE
SA1,2021/12/01 05:15:00,1216.6,58.55,TRADE
SA1,2021/12/01 05:20:00,1213.4,57.02,TRADE
SA1,2021/12/01 05:25:00,1186.16,56.68,TRADE
SA1,2021/12/01 05:30:00,1157.53,57.08,TRADE
SA1,2021/12/01 05:35:00,1175.69,57.79,TRADE
SA1,2021/12/01 05:40:00,1184.77,58.25,TRADE
SA1,2021/12/01 05:45:00,1180.51,59.64,TRADE
SA1,2021/12/01 05:50:00,1178.25,58.33,TRADE
SA1,2021/12/01 05:55:00,1202.97,60.03,TRADE
SA1,2021/12/01 06:00:00,1183.77,60.85,TRADE
SA1,2021/12/01 06:05:00,1202.95,63.03,TRADE
SA1,2021/12/01 06:10:00,1210.56,69.24,TRADE
SA1,2021/12/01 06:15:00,1224.18,58.22,TRADE
SA1,2021/12/01 06:20:00,1239.22,54.88,TRADE
SA1,2021/12/01 06:25:00,1254.83,53.95,TRADE
SA1,2021/12/01 06:30:00,1217.09,32.75,TRADE
SA1,2021/12/01 06:35:00,1195.09,54.37,TRADE
SA1,2021/12/01 06:40:00,1206.41,21.15,TRADE
SA1,2021/12/01 06:45:00,1249.34,26.64,TRADE
SA1,2021/12/01 06:50:00,1274.68,27.99,TRADE
SA1,2021/12/01 06:55:00,1226.91,28.57,TRADE
SA1,2021/12/01 07:00:00,1306.44,22.44,TRADE
SA1,2021/12/01 07:05:00,1223.63,29.06,TRADE
SA1,2021/12/01 07:10:00,1224.54,38.70,TRADE
SA1,2021/12/01 07:15:00,1272.83,39.75,TRADE
SA1,2021/12/01 07:20:00,1139.84,37.70,TRADE
SA1,2021/12/01 07:25:00,1250.53,40.55,TRADE
SA1,2021/12/01 07:30:00,1206.94,38.89,TRADE
SA1,2021/12/01 07:35:00,1101.91,35.46,TRADE
SA1,2021/12/01 07:40:00,1122.09,35.71,TRADE
SA1,2021/12/01 07:45:00,1089.66,36.13,TRADE
SA1,2021/12/01 07:50:00,1128.03,38.02,TRADE
SA1,2021/12/01 07:55:00,1127.73,48.34,TRADE
SA1,2021/12/01 08:00:00,1110.68,52.73,TRADE
SA1,2021/12/01 08:05:00,1115.6,66.43,TRADE
SA1,2021/12/01 08:10:00,1049.61,52.02,TRADE
SA1,2021/12/01 08:15:00,1074.82,50.36,TRADE
SA1,2021/12/01 08:20:00,1030.13,59.98,TRADE
SA1,2021/12/01 08:25:00,1057.92,59.34,TRADE
SA1,2021/12/01 08:30:00,1061.12,59.81,TRADE
SA1,2021/12/01 08:35:00,968.21,59.10,TRADE
SA1,2021/12/01 08:40:00,1079.3,62.41,TRADE
SA1,2021/12/01 08:45:00,1003.45,31.25,TRADE
SA1,2021/12/01 08:50:00,912.82,57.63,TRADE
SA1,2021/12/01 08:55:00,1002.53,58.71,TRADE
SA1,2021/12/01 09:00:00,946.1,53.20,TRADE
