REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2023/03/01 00:05:00,1382.01,84.20,TRADE
SA1,2023/03/01 00:10:00,1394.56,85.58,TRADE
SA1,2023/03/01 00:15:00,1399.27,83.51,TRADE
SA1,2023/03/01 00:20:00,1382.8,81.74,TRADE
SA1,2023/03/01 00:25:00,1400.37,81.18,TRADE
SA1,2023/03/01 00:30:00,1406.71,83.51,TRADE
SA1,2023/03/01 00:35:00,1390.34,81.63,TRADE
SA1,2023/03/01 00:40:00,1394.83,82.32,TRADE
SA1,2023/03/01 00:45:00,1387.33,81.90,TRADE
SA1,2023/03/01 00:50:00,1388.54,79.06,TRADE
SA1,2023/03/01 00:55:00,1389.34,71.70,TRADE
SA1,2023/03/01 01:00:00,1394.54,65.34,TRADE
SA1,2023/03/01 01:05:00,1385.49,78.92,TRADE
SA1,2023/03/01 01:10:00,1388.18,72.47,TRADE
SA1,2023/03/01 01:15:00,1379.3,50.50,TRADE
SA1,2023/03/01 01:20:00,1362.72,73.21,TRADE
SA1,2023/03/01 01:25:00,1339.38,68.77,TRADE
SA1,2023/03/01 01:30:00,1352.4,53.12,TRADE
SA1,2023/03/01 01:35:00,1331.83,63.02,TRADE
SA1,2023/03/01 01:40:00,1319.46,47.83,TRADE
SA1,2023/03/01 01:45:00,1299.16,66.32,TRADE
SA1,2023/03/01 01:50:00,1295.46,57.27,TRADE
SA1,2023/03/01 01:55:00,1306.43,54.87,TRADE
SA1,2023/03/01 02:00:00,1289.37,64.97,TRADE
SA1,2023/03/01 02:05:00,1297.26,68.02,TRADE
SA1,2023/03/01 02:10:00,1297.91,68.10,TRADE
SA1,2023/03/01 02:15:00,1291.46,63.28,TRADE
SA1,2023/03/01 02:20:00,1277.44,58.48,TRADE
SA1,2023/03/01 02:25:00,1275.18,63.58,TRADE
SA1,2023/03/01 02:30:00,1253.16,59.48,TRADE
SA1,2023/03/01 02:35:00,1242.39,58.48,TRADE
SA1,2023/03/01 02:40:00,1229.36,54.34,TRADE
SA1,2023/03/01 02:45:00,1223.85,55.16,TRADE
SA1,2023/03/01 02:50:00,1229.85,54.37,TRADE
SA1,2023/03/01 02:55:00,1225.84,53.57,TRADE
SA1,2023/03/01 03:00:00,1252.11,52.11,TRADE
SA1,2023/03/01 03:05:00,1244.94,55.43,TRADE
SA1,2023/03/01 03:10:00,1242.15,55.79,TRADE
SA1,2023/03/01 03:15:00,1222.69,51.94,TRADE
SA1,2023/03/01 03:20:00,1223.64,52.72,TRADE
SA1,2023/03/01 03:25:00,1208.13,59.13,TRADE
SA1,2023/03/01 03:30:00,1201.24,60.18,TRADE
SA1,2023/03/01 03:35:00,1220.45,66.67,TRADE
SA1,2023/03/01 03:40:00,1214.15,66.76,TRADE
SA1,2023/03/01 03:45:00,1239.92,66.27,TRADE
SA1,2023/03/01 03:50:00,1223.69,73.28,TRADE
SA1,2023/03/01 03:55:00,1224.25,73.28,TRADE
SA1,2023/03/01 04:00:00,1231.54,73.67,TRADE
SA1,2023/03/01 04:05:00,1229.55,83.47,TRADE
SA1,2023/03/01 04:10:00,1229.9,83.47,TRADE
SA1,2023/03/01 04:15:00,1218.72,83.86,TRADE
SA1,2023/03/01 04:20:00,1207.26,87.23,TRADE
SA1,2023/03/01 04:25:00,1211.75,84.28,TRADE
SA1,2023/03/01 04:30:00,1225.72,87.89,TRADE
SA1,2023/03/01 04:35:00,1248.41,85.65,TRADE
SA1,2023/03/01 04:40:00,1240.29,89.72,TRADE
SA1,2023/03/01 04:45:00,1231.76,87.74,TRADE
SA1,2023/03/01 04:50:00,1255.68,103.71,TRADE
SA1,2023/03/01 04:55:00,1251.15,103.76,TRADE
SA1,2023/03/01 05:00:00,1249.02,105.70,TRADE
SA1,2023/03/01 05:05:00,1255.37,105.78,TRADE
SA1,2023/03/01 05:10:00,1279.44,125.01,TRADE
SA1,2023/03/01 05:15:00,1277.86,136.30,TRADE
SA1,2023/03/01 05:20:00,1280.71,141.63,TRADE
SA1,2023/03/01 05:25:00,1283.94,156.11,TRADE
SA1,2023/03/01 05:30:00,1317.11,150.81,TRADE
SA1,2023/03/01 05:35:00,1321.12,128.56,TRADE
SA1,2023/03/01 05:40:00,1350.56,128.06,TRADE
SA1,2023/03/01 05:45:00,1373.98,131.98,TRADE
SA1,2023/03/01 05:50:00,1363.58,145.94,TRADE
SA1,2023/03/01 05:55:00,1385.13,146.25,TRADE
SA1,2023/03/01 06:00:00,1397.7,155.73,TRADE
SA1,2023/03/01 06:05:00,1400.65,122.71,TRADE
SA1,2023/03/01 06:10:00,1436.19,118.37,TRADE
SA1,2023/03/01 06:15:00,1462.87,145.92,TRADE
SA1,2023/03/01 06:20:00,1457.63,157.36,TRADE
SA1,2023/03/01 06:25:00,1497.64,158.15,TRADE
SA1,2023/03/01 06:30:00,1461.26,124.57,TRADE
SA1,2023/03/01 06:35:00,1478.71,125.87,TRADE
SA1,2023/03/01 06:40:00,1485.17,126.49,TRADE
SA1,2023/03/01 06:45:00,1502.91,98.09,TRADE
SA1,2023/03/01 06:50:00,1507.15,94.61,TRADE
SA1,2023/03/01 06:55:00,1531.84,105.05,TRADE
SA1,2023/03/01 07:00:00,1533.59,88.90,TRADE
SA1,2023/03/01 07:05:00,1520.78,87.14,TRADE
SA1,2023/03/01 07:10:00,1513.17,87.88,TRADE
SA1,2023/03/01 07:15:00,1492.22,86.69,TRADE
SA1,2023/03/01 07:20:00,1492.33,87.58,TRADE
SA1,2023/03/01 07:25:00,1482.89,85.81,TRADE
SA1,2023/03/01 07:30:00,1440.34,75.61,TRADE
SA1,2023/03/01 07:35:00,1394.57,81.44,TRADE
SA1,2023/03/01 07:40:00,1375.48,79.72,TRADE
SA1,2023/03/01 07:45:00,1400.89,79.27,TRADE
SA1,2023/03/01 07:50:00,1358.32,70.78,TRADE
