REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
SA1,2023/01/01 00:05:00,1443.65,127.57,TRADE
SA1,2023/01/01 00:10:00,1438.16,122.85,TRADE
SA1,2023/01/01 00:15:00,1433.89,111.14,TRADE
SA1,2023/01/01 00:20:00,1444.12,110.25,TRADE
SA1,2023/01/01 00:25:00,1472.34,110.48,TRADE
SA1,2023/01/01 00:30:00,1466.78,97.86,TRADE
SA1,2023/01/01 00:35:00,1474.38,106.74,TRADE
SA1,2023/01/01 00:40:00,1452.94,104.25,TRADE
SA1,2023/01/01 00:45:00,1448.85,96.61,TRADE
SA1,2023/01/01 00:50:00,1425.84,96.49,TRADE
SA1,2023/01/01 00:55:00,1420.52,95.13,TRADE
SA1,2023/01/01 01:00:00,1417.68,93.20,TRADE
SA1,2023/01/01 01:05:00,1405.81,94.93,TRADE
SA1,2023/01/01 01:10:00,1412.36,94.49,TRADE
SA1,2023/01/01 01:15:00,1405.82,89.48,TRADE
SA1,2023/01/01 01:20:00,1397.62,91.70,TRADE
SA1,2023/01/01 01:25:00,1371.52,87.29,TRADE
SA1,2023/01/01 01:30:00,1356.09,87.32,TRADE
SA1,2023/01/01 01:35:00,1362.08,104.39,TRADE
SA1,2023/01/01 01:40:00,1326.98,92.83,TRADE
SA1,2023/01/01 01:45:00,1325.03,94.12,TRADE
SA1,2023/01/01 01:50:00,1306.96,94.62,TRADE
SA1,2023/01/01 01:55:00,1302.55,91.61,TRADE
SA1,2023/01/01 02:00:00,1293.81,89.83,TRADE
SA1,2023/01/01 02:05:00,1289.97,87.41,TRADE
SA1,2023/01/01 02:10:00,1300.87,89.75,TRADE
SA1,2023/01/01 02:15:00,1281.29,86.21,TRADE
SA1,2023/01/01 02:20:00,1278.35,87.02,TRADE
SA1,2023/01/01 02:25:00,1261.6,84.64,TRADE
SA1,2023/01/01 02:30:00,1249.12,78.27,TRADE
SA1,2023/01/01 02:35:00,1247.89,77.29,TRADE
SA1,2023/01/01 02:40:00,1260.49,76.46,TRADE
