REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2022/12/01 00:05:00,7129.76,125,TRADE
NSW1,2022/12/01 00:10:00,7113.16,128.27,TRADE
NSW1,2022/12/01 00:15:00,7062.74,128.25,TRADE
NSW1,2022/12/01 00:20:00,7022.36,125,TRADE
NSW1,2022/12/01 00:25:00,6951.37,120.68,TRADE
NSW1,2022/12/01 00:30:00,6966.8,120.95,TRADE
NSW1,2022/12/01 00:35:00,6987.61,128.25,TRADE
NSW1,2022/12/01 00:40:00,6922.26,128.25,TRADE
NSW1,2022/12/01 00:45:00,6809.72,117.85,TRADE
NSW1,2022/12/01 00:50:00,6772.68,126.96,TRADE
NSW1,2022/12/01 00:55:00,6781.91,125.35,TRADE
NSW1,2022/12/01 01:00:00,6759.34,128.21,TRADE
NSW1,2022/12/01 01:05:00,6708.94,128.29,TRADE
NSW1,2022/12/01 01:10:00,6613.02,128.25,TRADE
NSW1,2022/12/01 01:15:00,6661.64,128.25,TRADE
NSW1,2022/12/01 01:20:00,6535.11,125,TRADE
NSW1,2022/12/01 01:25:00,6548.38,90.41,TRADE
NSW1,2022/12/01 01:30:00,6540.63,125,TRADE
NSW1,2022/12/01 01:35:00,6462.66,108.98,TRADE
NSW1,2022/12/01 01:40:00,6418.82,111.85,TRADE
NSW1,2022/12/01 01:45:00,6360.65,105,TRADE
NSW1,2022/12/01 01:50:00,6394.57,89.90,TRADE
NSW1,2022/12/01 01:55:00,6335.94,90.11,TRADE
NSW1,2022/12/01 02:00:00,6271.51,89.94,TRADE
NSW1,2022/12/01 02:05:00,6325.36,105,TRADE
NSW1,2022/12/01 02:10:00,6294.07,88.95,TRADE
NSW1,2022/12/01 02:15:00,6221.65,90.27,TRADE
NSW1,2022/12/01 02:20:00,6190.54,89.62,TRADE
NSW1,2022/12/01 02:25:00,6171.86,89.68,TRADE
NSW1,2022/12/01 02:30:00,6218.8,91.89,TRADE
NSW1,2022/12/01 02:35:00,6182.34,91.31,TRADE
NSW1,2022/12/01 02:40:00,6140.24,90.68,TRADE
NSW1,2022/12/01 02:45:00,6183.73,115.38,TRADE
NSW1,2022/12/01 02:50:00,6176.78,100,TRADE
NSW1,2022/12/01 02:55:00,6147.64,100,TRADE
NSW1,2022/12/01 03:00:00,6166.67,113.19,TRADE
NSW1,2022/12/01 03:05:00,6184.26,112.93,TRADE
NSW1,2022/12/01 03:10:00,6169.36,112.45,TRADE
NSW1,2022/12/01 03:15:00,6195.3,92.70,TRADE
NSW1,2022/12/01 03:20:00,6185.75,100,TRADE
NSW1,2022/12/01 03:25:00,6184.92,100,TRADE
NSW1,2022/12/01 03:30:00,6186.27,105,TRADE
NSW1,2022/12/01 03:35:00,6207.09,110.45,TRADE
NSW1,2022/12/01 03:40:00,6232.87,113.92,TRADE
NSW1,2022/12/01 03:45:00,6252.52,110.75,TRADE
NSW1,2022/12/01 03:50:00,6250.23,109.41,TRADE
NSW1,2022/12/01 03:55:00,6285.87,111.98,TRADE
NSW1,2022/12/01 04:00:00,6269.24,111.01,TRADE
NSW1,2022/12/01 04:05:00,6386.8,116.91,TRADE
NSW1,2022/12/01 04:10:00,6439.71,125.07,TRADE
NSW1,2022/12/01 04:15:00,6467.22,126.18,TRADE
NSW1,2022/12/01 04:20:00,6488.3,125.26,TRADE
NSW1,2022/12/01 04:25:00,6567.74,126.03,TRADE
NSW1,2022/12/01 04:30:00,6560.29,126.09,TRADE
NSW1,2022/12/01 04:35:00,6575.63,126.98,TRADE
NSW1,2022/12/01 04:40:00,6588.61,128.11,TRADE
NSW1,2022/12/01 04:45:00,6601,128.25,TRADE
NSW1,2022/12/01 04:50:00,6657.14,129.22,TRADE
NSW1,2022/12/01 04:55:00,6704.08,131.68,TRADE
NSW1,2022/12/01 05:00:00,6700.45,130.41,TRADE
NSW1,2022/12/01 05:05:00,6801.16,132.72,TRADE
NSW1,2022/12/01 05:10:00,6902.89,149,TRADE
NSW1,2022/12/01 05:15:00,6977.5,148.99,TRADE
NSW1,2022/12/01 05:20:00,7027.57,149,TRADE
NSW1,2022/12/01 05:25:00,7106.64,148.99,TRADE
NSW1,2022/12/01 05:30:00,7004.49,128.76,TRADE
NSW1,2022/12/01 05:35:00,7108.4,148.99,TRADE
NSW1,2022/12/01 05:40:00,7200.67,148.99,TRADE
NSW1,2022/12/01 05:45:00,7253.85,133.21,TRADE
NSW1,2022/12/01 05:50:00,7291.59,128.25,TRADE
NSW1,2022/12/01 05:55:00,7311.11,123.84,TRADE
NSW1,2022/12/01 06:00:00,7332.98,128.25,TRADE
NSW1,2022/12/01 06:05:00,7345.21,133.72,TRADE
